compound,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36,pc37,pc38,pc39,pc40,pc41,pc42,pc43,pc44,pc45,pc46,pc47,pc48,pc49,pc50,pc51,pc52,pc53,pc54,pc55,pc56,pc57,pc58,pc59,pc60,pc61,pc62,pc63
"(1R, 2S, 5R) - (-) - Menthol",-0.8605487,0.17761482,-0.73946154,-1.0219038,-1.0292386,-0.7089122,1.0003036,-1.601894,-0.115810685,-0.7840101,-1.8630983,0.062308397,0.4955318,-0.9833568,2.5150383,-0.09214501,-0.56511897,-0.90788954,0.18655644,0.8657437,-0.2230226,-1.5523808,0.9090822,1.5400615,0.80182785,-1.3827306,0.18027988,-0.42755955,-0.080322534,-0.4352792,-1.6708689,-0.0932265,0.58167887,-2.6984916,-0.40864113,-0.2159873,0.10814784,-0.09654298,0.83541423,0.8241618,0.49014956,-0.18454327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(S)-(+)-Camptothecin,0.54417944,0.5522852,-0.19897373,0.19644395,-0.44051525,0.2736183,-0.11315931,0.28533706,0.029670624,0.812142,-0.044898294,0.08347783,0.19215034,-0.0483123,-0.020647487,-0.22297417,-0.33470938,0.08841102,0.47913432,0.305251,-0.24230419,-0.21718802,-0.28456727,-0.2676876,-0.119190216,0.38405514,-0.025644446,0.08981018,-0.009183758,-0.13451637,-0.1104126,0.44829214,-0.32246944,-0.021679524,-0.14599949,0.10770557,0.23877408,1.2049755,-0.16648874,-0.15939906,-0.051972352,-0.33386704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-10 Phenanthroline monohydrate,1.46721,0.5334684,0.8480882,0.4371154,-0.58078647,-0.29013127,-0.5155163,-0.25704557,-0.96141946,0.7612609,-0.36018756,-0.31406626,-0.15987232,0.8061258,0.6810244,-0.32823604,-0.7906923,0.78058195,1.0418382,1.0107989,0.039154924,-1.2240002,-1.0867139,-0.50278807,0.7302276,0.1315154,-1.7241812,1.1623732,-0.2684553,-0.8364945,-0.71940327,0.9543484,-0.8168818,0.7264378,-0.66035944,-0.6380857,0.7042331,3.6761427,1.6317612,-1.3175986,-1.0544494,-0.10720298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Hydroxytamoxifen,0.8624501,0.6788416,0.6167119,-0.38114858,1.0106843,-1.0007347,-0.5091295,-0.293543,0.024646448,-0.034719933,-0.25750136,0.3248336,-1.0636116,0.0284633,0.011601034,0.5849674,0.33890593,0.15107647,0.58573264,-0.03482461,-0.8896323,0.02680421,0.8226363,-0.08178602,0.3697755,-0.24524477,0.052035417,0.21746169,-0.19535717,1.1536312,0.22374396,-0.33944133,0.5320126,-0.25430834,0.22146058,1.9676138,-0.041045744,1.3131716,-1.4285345,-1.9933047,4.4201546,-0.98414344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abietic acid,-0.40558326,0.1824638,-1.1281507,-0.7219481,-0.3402559,-0.8486398,-0.13087955,-0.41007572,0.39631668,-0.11143346,-0.008436592,0.00079051906,0.4605111,-0.3723227,-0.12095409,-0.080138564,0.5090248,-0.011134399,0.6396788,0.04018198,-0.11617712,0.25981262,-0.40011033,-0.04926933,-0.12023646,-0.51486903,-0.079949036,0.16170134,-0.0645227,-0.30825156,-0.35495472,-0.014316718,-0.0753655,0.28349978,0.011398337,0.39139354,0.06724363,-0.35583848,0.018946579,0.16512264,-0.15052618,0.15716475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amiodarone hydrochloride,0.6603587,0.48798352,-0.1445764,-0.567323,0.8218859,-1.0061687,-0.23239785,-0.14702277,0.20297752,-0.6421308,-0.06686919,-0.5161836,-0.5617215,-1.012491,-0.18796481,0.5807255,-0.16153795,2.5282516,-1.4158471,-2.0353806,-1.4808378,-0.33270285,-2.0852876,2.349684,0.5898774,1.2857673,1.7482591,-0.02091095,0.9448118,-0.61257446,-0.26039755,-0.9642557,0.23588935,0.110490605,0.47405773,-1.9551042,0.4000575,0.56486917,-0.19976386,0.23072642,-0.050504763,-0.17308034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amphotericin B,-1.3926604,0.195407,0.35171923,-0.3888944,2.4595475,1.250952,-1.5015292,-1.217512,-1.0737704,-0.40527835,1.0962408,0.9318368,1.4430196,0.3316476,0.17375958,-0.047073897,-0.213562,-0.123090595,0.45158243,-0.5213442,-0.3611027,-0.878463,0.097466715,0.19073698,-0.31327334,0.050860867,0.03577185,-0.10572696,-0.5718829,-0.05389336,-0.016668405,0.29225114,0.07680656,-0.20048733,0.22564875,-0.0886618,0.21039784,0.3416639,0.03456993,-0.16382563,0.5156059,4.495679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anisomycin,-0.10420651,0.33003455,-0.7627733,0.04505929,-1.0219717,0.48442766,-1.1177937,0.56118864,-0.28066725,-0.40179688,-0.56176955,0.7980554,-0.19324462,1.4720943,-1.1660075,0.961005,0.15810674,0.23351899,-1.6259235,0.23917973,0.26396376,-0.1649887,1.0320184,-1.5304996,1.0869247,2.2483952,-0.06796025,-0.026358236,-2.2207572,-1.4452654,-1.1407871,-0.9606296,1.1120132,-1.2904181,2.15251,0.5903629,1.4450375,0.30717456,-0.14121865,0.8895561,-0.20266706,-0.2877216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artemisinin,-0.6844514,-0.0232818,-2.2632353,-0.0064813085,-0.67278975,-0.5377966,-0.6508602,-0.70685565,0.36484432,0.4180334,0.23291641,-0.42395353,0.9016427,-0.3958162,0.2728636,-0.70075196,1.0311031,1.1877985,0.30114174,-0.43085605,1.4058468,1.6314734,0.7037274,1.2609578,0.24582352,0.41214046,0.7432149,3.273934,-2.0010254,1.3579121,0.66661924,2.0847003,0.79188454,0.13271657,-0.45572072,-0.11551755,-0.23702104,0.2224229,-0.121941365,-0.0774654,-0.18115605,-0.16768236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brefeldin A,-0.67081845,0.003987491,-1.5181481,-0.16770916,0.3770782,-0.35821867,-1.4022329,-0.21763189,0.031378552,-0.6224416,-0.45139378,0.4341038,0.8998124,0.5142753,1.1488045,-0.3580988,0.6389404,-0.74347013,-0.5514866,0.15474357,0.2185797,3.0557892,-0.18550128,-1.4857141,0.27961165,-0.32718372,0.28749996,1.0680727,2.4441938,-1.5077631,-0.93688387,-2.5419948,-0.93065834,0.62723476,-1.0980974,-0.025014842,-0.16626039,0.25246754,0.76829076,-0.6570301,0.36333153,-0.08222341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHX,-0.77819496,0.19750093,-0.6239774,-0.6145988,-1.878479,-0.39673704,-0.37982032,-0.15441494,0.07771688,-1.131294,-1.4163247,0.9462412,0.52578086,0.35183296,1.0388076,-0.23739254,-1.0153972,-1.5009576,-0.9204113,0.13319859,-0.86250055,-1.1621764,0.091731034,1.0526732,-0.78715515,2.1398869,-1.0205357,-0.2554857,0.6207474,0.69407517,2.8520205,-0.21963225,0.05202028,2.738024,0.40016466,0.66262424,-0.3635508,0.1692206,-0.10919899,0.03267544,-0.014757994,0.1542393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cisplatin,1.0660611,-3.255326,0.193668,1.7061849,-0.39184293,0.9348709,1.3156251,-1.3388215,-0.5571347,-1.9331634,0.49551734,-1.0352956,0.76157784,-2.5121012,0.6102385,0.9416713,0.55305827,0.00011165061,0.6751408,-0.12306415,-0.5903411,0.12548774,-0.07164386,-2.0744534,0.367095,1.3757266,-0.08553865,0.33288094,0.3520585,0.37304482,0.69936,-0.09794365,0.5529978,-0.37803292,0.4269896,-0.1969746,0.1712091,0.3632095,-0.12076117,-0.13950764,0.13733472,0.106832184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clomiphene citrate,0.42301583,0.28330094,0.68232244,-1.2550279,0.9283182,-0.4413602,0.16618207,-0.5943427,0.25468925,-0.5184099,0.108288206,0.4075383,-0.62679046,-0.26441014,-0.41501492,1.3299522,0.9538987,0.9760992,-0.027129112,0.22273125,-0.901716,1.0327375,-0.056915306,0.2579813,0.7382784,-0.35530236,-0.168522,-0.7533091,-0.8420808,1.4218596,0.9513792,-0.9165386,0.12555349,-0.33606392,-0.5433871,3.0842257,-0.9339446,-0.1649102,3.0696452,0.21854404,-2.3314064,0.009044208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clotrimazole,1.3894683,0.83960074,0.5594484,0.74431413,0.6010512,-0.3667981,-0.5083646,-0.80719453,-0.6552827,-0.32926694,-0.9158417,0.29289266,-0.66482,1.0390558,1.2995659,0.1617622,-0.61090595,0.6976236,-0.33420885,1.0995027,0.90823096,0.28695714,-0.665919,-0.7071397,-0.2850449,-1.399161,-0.90289503,1.0437998,0.09887295,3.0623899,0.45803264,-1.424041,-0.43422467,-0.43738165,2.1466982,-1.6374606,0.29521453,-1.5964177,-1.1941993,0.4216326,-0.9130737,0.22210553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclopiazonic acid,0.031085167,0.5261584,-0.43861797,0.49335212,-1.7560169,0.74673134,-0.021053253,-0.2898524,-0.16428505,0.82431173,-0.868057,0.78721654,1.674794,0.58050716,-1.4851907,-0.4444895,-2.3079245,1.6033825,3.3226316,0.10270818,-0.756863,1.5937059,-0.6384817,-0.054305755,0.7134367,0.37751085,0.5588231,-1.9280083,0.020378029,0.36797762,0.2515387,-0.51222926,0.70189106,-0.45969567,-0.36884412,-0.4477268,-0.52650803,-0.84553576,-0.102896854,-0.33639166,0.4069986,-0.011347997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desipramine hydrochloride,1.3598106,0.5364267,-0.06113969,-0.029867357,0.82610226,-0.45853835,0.7738368,-0.22635072,-0.7154985,-0.5543955,-1.3088458,0.07330567,0.9153151,0.10965496,-0.6905749,0.08026363,0.24865584,0.31928736,0.37901637,0.41235518,0.56258684,-0.5686883,-1.586315,-0.5394598,-0.77326024,-0.3383737,0.3647304,0.6372691,-0.6933493,-1.2120976,0.24149059,-0.00064540125,-0.77649164,0.5655145,-2.3290272,1.9068211,0.4556151,-0.0084953,-2.339245,3.4024544,0.13858189,0.039491937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doxycycline hyclate,-0.60544723,0.35605726,0.23408198,0.08812322,-0.26119253,0.79922116,0.10047192,-0.29395282,0.060995594,0.119867004,0.33283556,0.11410899,0.36962014,-0.38109273,-0.4155586,0.29494798,-0.01905488,0.2628934,0.36390188,-0.22082971,-0.33152163,0.49970028,-0.07417045,0.41193852,0.039732017,-0.22459058,-0.07876252,-0.7972305,0.5405355,0.07277509,0.22662437,0.2884433,-0.30374867,-0.74452496,0.25916162,0.60183966,-0.6222627,-0.05202351,0.17478317,0.77409136,0.058060955,0.74233085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyclonine hydrochloride,0.49401066,0.2709756,-0.3247495,-0.60376924,0.28007528,-1.0538988,0.48382735,0.6990688,0.493099,-1.0282042,-0.53604656,-0.52129847,0.21636373,-0.19921012,-0.2812282,0.8737348,-0.61556447,-0.5070379,-0.19405733,-0.07873781,-0.9370095,0.41637278,1.2957877,0.0404436,0.1321565,0.12607217,-0.23912676,-0.42261195,-0.40679663,-0.30093968,-0.84629464,0.86078,-0.8181912,-0.27010095,-1.280669,0.19002457,1.0126963,-0.97183794,-2.8163714,-3.3297586,-2.6750457,0.7444167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDTA,-0.20913136,-1.5354817,1.2598207,-2.4986167,0.5731464,0.41769162,0.9557694,-0.41397685,2.4082303,1.0459596,-0.1618315,2.4837515,-0.3222048,-0.70090824,-0.2688219,0.46456838,0.42946622,-0.42298552,0.2073515,2.2792974,0.8354638,0.84723234,-1.7760807,0.19881696,-0.45351943,1.2352788,-0.3291635,0.32517198,-0.11695781,-0.09061747,-1.175138,0.72708845,0.3700522,0.5836958,0.3206023,-0.96683717,0.4289392,-0.37095195,-0.26802295,-0.26174477,0.3758921,-0.039128106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emodin,0.40405187,0.3377155,-0.3185223,-0.1458755,-0.6908882,-0.021053916,-1.3107984,0.008948997,1.056508,0.6471853,1.5327792,0.40959844,-0.5205787,-1.0814586,0.70929265,-0.40316746,0.08423917,-0.13825944,1.060905,-0.2864496,-0.55342555,0.9119861,0.019204846,0.5823723,0.25109693,-0.49597967,-0.8478713,-0.28451708,1.7938789,-1.4113094,0.79468143,1.5419745,-1.6026796,-1.4854668,2.814986,1.5647109,-0.40978518,0.83620787,-1.5521041,1.3716263,-0.94926685,-0.00059383217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
